"index","imdb_title_id","title","year","genre","duration","country","director","production_company","budget","total_votes","median_vote","18andunder","under30","under45","males","malesunder18","malesunder30","malesunder45","females","femalesunder18","femalesunder30","femalesunder45"
"4446","tt3665498","Beyond the Sky","2018","Mystery","82","USA","Fulvio Sestito","Elysian Fields Entertainment",1500000,"3168","9","5.2","4.8","5","4.9","5.3","4.8","5.1","4.8","5.2","5","4.6"
"4447","tt3666644","Scarewaves","2014","Horror","82","USA","Henrique Couto","New Dynamic",70000,"147","4","4.5","4.6","3.5","4.3","4.6","4.5","3.9","3.2","4.5","4.1","2.6"
"4448","tt3671086","Natural Born Pranksters","2016","Comedy","90","USA","Roman Atwood","Studio71",1000000,"3516","3","3.6","3.5","3.5","3.6","3.5","3.5","3.5","4","4.8","3.5","3.2"
"4449","tt3682546","Betrothed","2016","Thriller","90","USA","Jim Lane","Red Cardinal Films",450000,"170","3","2.3","3.7","4","3.7","1.7","3.8","3.8","3.7","5","3.3","4.5"
"4450","tt3685328","How to Beat a Bully","2015","Family","84","USA","Doug Bilitch","Dream Factory Entertainment",1200000,"125","9","4.9","4.1","6.2","4.7","4.9","4","5.1","8","10","9.8","8.2"
"4451","tt3685586","The Midnight Man","2016","Comedy","105","USA","D.C. Hamilton","Maindiner Music & Film",1000000,"705","5","5.7","4.8","5.1","4.9","5.7","4.7","5","5.6","5.8","5.4","5.9"
"4452","tt3686878","The Sins of Dracula","2014","Comedy","81","USA","Richard Griffin","Scorpio Film Releasing",20000,"103","8","6.2","4.4","3.7","4.5","7.2","4.4","3.9","2.8","1","4.2","2.7"
"4453","tt3687118","Game of Aces","2016","Action","97","USA","Damien Lay","Layfilm",500000,"127","5","4.2","3.9","4.6","4.2","4","3.8","4.5","4.9","5","4.5","8.8"
"4454","tt3687310","Criminal Activities","2015","Crime","94","USA","Jackie Earle Haley","Capacity Pictures",7000000,"7887","6","6","5.8","5.8","5.8","6","5.7","5.8","6","6.1","5.9","6.3"
"4455","tt3687398","The Runner","2015","Drama","90","USA","Austin Stark","Paper Street Films",6000000,"4676","5","4.6","4.6","4.8","4.7","4.6","4.6","4.8","4.8","4.9","4.6","5.1"
"4456","tt3694988","How to Kill a Zombie","2014","Comedy","91","USA","Tiffany McLean","Freight Train Films",20000,"199","7","6.4","3.4","4.5","4.2","6","3.6","4.3","4.3","9.3","3.2","5.6"
"4457","tt3697398","The Possession Experiment","2016","Horror","84","USA","Scott B. Hansen","Digital Thunderdome",55000,"687","4","3.2","3.5","3.7","3.5","3.3","3.3","3.6","3.7","2.9","3.8","4.6"
"4458","tt3699692","Dude Bro Party Massacre III","2015","Comedy","91","USA","Tomm Jacobsen","5-Second Films",400000,"1577","7","6.7","6.1","5.2","6","6.7","6","5","6.5","6.4","6.7","5.7"
"4459","tt3702088","Daisy Winters","2017","Drama","90","USA","Beth LaMure","Daisy Force Pictures",2500000,"110","7","5.5","6","5.7","6.1","5.4","6","6.5","5.7","6","5.8","4.3"
"4460","tt3704298","Vincent N Roxxy","2016","Crime","102","USA","Gary Michael Schultz","Unified Pictures",2600000,"1662","6","5.8","5.4","5.4","5.5","5.8","5.4","5.4","5.7","5.9","5.4","5.9"
"4461","tt3704854","The Boat Builder","2015","Adventure","88","USA","Arnold Grossman","Blue Creek Pictures",5000000,"151","7","6","6.1","6.2","6.1","5","6.1","6.3","6.2","7.5","6.3","6"
